algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,31.2436502449,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,31.4944527244,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,31.3987632768,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,31.2722270522,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,31.2498900241,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,31.0905362824,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,31.203175001,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,31.3839751935,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,31.3002351847,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,31.2352356426,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,31.4090901465,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,31.4531239256,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,31.3381495014,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,31.3998114785,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,31.357955177,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,31.361824339,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,31.3577552502,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,31.2900338804,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,31.3282445578,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,31.3460536558,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,31.3284072988,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,31.3989031883,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,31.2564454646,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,31.4033142945,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,31.5259160268,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,31.2568394521,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,31.2708126452,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,31.117604181,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,31.3223884875,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,31.4957336867,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,31.5427188321,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,31.4407286818,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,31.2968338037,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,31.3624415863,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,31.3236595538,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,31.3427725744,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,31.3252441349,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,31.3857200074,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,31.3980442343,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,31.3067385896,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,31.5254198104,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,31.2558272977,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,31.2320465066,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,31.3846723326,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,31.3029906612,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,31.2978883195,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,31.3046227186,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,31.2575861591,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,31.2327160055,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,31.3485430263,True,True,False,True
