algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,31.2429087361,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,31.4959810203,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,31.3982009092,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,31.2724921003,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,31.2527553399,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,31.0915971202,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,31.2046218422,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,31.3858311284,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,31.299495255,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,31.2334428742,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,31.406143374,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,31.4539046557,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,31.3366755247,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,31.4000126391,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,31.3624593653,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,31.3597039628,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,31.3603524442,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,31.2850004702,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,31.3298592414,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,31.3433937529,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,31.3254684803,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,31.4000170206,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,31.2572905696,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,31.4042200682,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,31.5283792351,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,31.25799606,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,31.2700852155,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,31.1173713654,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,31.321328354,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,31.4970628671,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,31.5418988641,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,31.4408650171,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,31.2980655438,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,31.3643450505,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,31.3250477306,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,31.3430607837,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,31.3282119371,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,31.3853726694,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,31.398465385,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,31.305264085,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,31.5255392649,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,31.2554444505,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,31.2319757129,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,31.384533142,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,31.3018630276,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,31.2976610711,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,31.3070753323,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,31.2561391943,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,31.2302090764,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,31.3494577404,True,True,False,True
